TOKEN,POS,LEMMA,SENTIMENT,SOURCE,SENSE
искусственный,Adj,искусственный,negative,opinion,"ПРИТВОРНЫЙ"
искусственный,Adj,искусственный,neutral,fact,"ИСКУССТВЕННОГО ПРОИСХОЖДЕНИЯ"
исламистский,Adj,исламистский,negative,fact,""
исполинский,Adj,исполинский,neutral,opinion,""
исполнимый,Adj,исполнимый,positive,opinion,""
исполнительный,Adj,исполнительный,neutral,fact,"ВЫПОЛНИТЬ,ИСПОЛНИТЬ,ОСУЩЕСТВИТЬ"
исполнительный,Adj,исполнительный,positive,opinion,"ИСПОЛНИТЕЛЬНЫЙ"
исправный,Adj,исправный,positive,opinion,""
истинный,Adj,истинный,positive,opinion,""
истовый,Adj,истовый,neutral,operator,""
истый,Adj,истый,neutral,operator,""
истязательский,Adj,истязательский,negative,opinion,""
исхудалый,Adj,исхудалый,negative,opinion,""
ишемический,Adj,ишемический,negative,fact,""
кабальный,Adj,кабальный,negative,opinion,""
каверзный,Adj,каверзный,negative,opinion,""
казенный,Adj,казенный,negative,opinion,"БЮРОКРАТИЗМ (ФОРМАЛИЗМ,КАНЦЕЛЯРЩИНА)"
казенный,Adj,казенный,neutral,fact,"ГОСУДАРСТВЕННЫЕ ФИНАНСОВЫЕ СРЕДСТВА"
кайфовый,Adj,кайфовый,positive,opinion,""
каменный,Adj,каменный,negative,opinion,"БЕЗЖАЛОСТНЫЙ,ЖЕСТОКИЙ"
каменный,Adj,каменный,neutral,fact,"КАМЕНЬ,КУСОК ПОРОДЫ"
канительщицкий,Adj,канительщицкий,negative,opinion,""
каннибальский,Adj,каннибальский,negative,fact,""
канцерный,Adj,канцерный,negative,fact,""
канцерогенный,Adj,канцерогенный,negative,fact,""
капитальный,Adj,капитальный,positive,opinion,""
капризный,Adj,капризный,negative,opinion,""
карикатурный,Adj,карикатурный,negative,opinion,"КАРИКАТУРНОЕ ПОДОБИЕ"
карикатурный,Adj,карикатурный,neutral,fact,"КАРИКАТУРА (РИСУНОК)"
кариозный,Adj,кариозный,negative,fact,""
картинный,Adj,картинный,negative,opinion,"ЖИВОПИСНЫЙ,КОЛОРИТНЫЙ"
картинный,Adj,картинный,neutral,fact,"ПРОИЗВЕДЕНИЕ ЖИВОПИСИ"
катаральный,Adj,катаральный,negative,fact,""
катастрофический,Adj,катастрофический,negative,opinion,""
катастрофичный,Adj,катастрофичный,negative,opinion,""
категорический,Adj,категорический,neutral,operator,""
категоричный,Adj,категоричный,negative,opinion,""
качественный,Adj,качественный,neutral,fact,"СВОЙСТВО,ХАРАКТЕРИСТИКА"
качественный,Adj,качественный,positive,opinion,"КАЧЕСТВЕННЫЙ,ВЫСОКОГО КАЧЕСТВА"
киллерский,Adj,киллерский,negative,fact,""
кисловатый,Adj,кисловатый,negative,opinion,""
кислый,Adj,кислый,negative,fact,"КИСЛЫЙ,ЗАКИСШИЙ"
кислый,Adj,кислый,negative,opinion,"УНЫЛЫЙ"
кислый,Adj,кислый,neutral,fact,"ХИМИЧЕСКАЯ КИСЛОТА"
кислый,Adj,кислый,neutral,opinion,"КИСЛЫЙ ВКУС"
кичливый,Adj,кичливый,negative,opinion,""
класный,Adj,класный,positive,opinion,""
классненький,Adj,классненький,positive,opinion,""
классный,Adj,классный,neutral,fact,"КЛАСС УЧЕНИКОВ"
классный,Adj,классный,positive,opinion,"ПЕРВОКЛАССНЫЙ"
клеветнический,Adj,клеветнический,negative,opinion,""
клевый,Adj,клевый,positive,opinion,""
клещевой,Adj,клещевой,negative,fact,""
коварный,Adj,коварный,positive,opinion,""
козырной,Adj,козырной,positive,fact,"КОЗЫРНАЯ КАРТА"
козырной,Adj,козырной,positive,opinion,"КОЗЫРЬ (ПРЕИМУЩЕСТВО)"
колдовской,Adj,колдовской,negative,opinion,""
коленопреклоненный,Adj,коленопреклоненный,negative,opinion,"РАБСКИЙ (ПОКОРНЫЙ)"
коленопреклоненный,Adj,коленопреклоненный,neutral,fact,"КОЛЕНОПРЕКЛОНЕНИЕ"
колитный,Adj,колитный,negative,fact,""
колкий,Adj,колкий,negative,opinion,"КОЛКИЙ,КОЛЮЧИЙ"
колкий,Adj,колкий,negative,opinion,"ЯЗВИТЕЛЬНЫЙ"
колкий,Adj,колкий,positive/negative,opinion,"КОЛКИЙ (ПОДАТЛИВЫЙ)"
коллаборационистский,Adj,коллаборационистский,negative,opinion,""
коллизионный,Adj,коллизионный,negative,opinion,""
колонизаторский,Adj,колонизаторский,negative,fact,""
колоритный,Adj,колоритный,neutral,fact,"КОЛОРИТ КАРТИНЫ"
колоритный,Adj,колоритный,positive,opinion,"ЖИВОПИСНЫЙ,КОЛОРИТНЫЙ"
колоссальный,Adj,колоссальный,neutral,opinion,""
колючий,Adj,колючий,negative,opinion,""
коматозный,Adj,коматозный,negative,fact,""
комический,Adj,комический,neutral,fact,"КОМЕДИЯ (ДРАМАТИЧЕСКОЕ ПРОИЗВЕДЕНИЕ)"
комический,Adj,комический,positive,opinion,"КОМИЧЕСКИЙ (СМЕШНОЙ,ЗАБАВНЫЙ)"
комичный,Adj,комичный,positive/negative,opinion,""
комковатый,Adj,комковатый,negative,fact,""
коммуникабельный,Adj,коммуникабельный,positive,opinion,""
компанейский,Adj,компанейский,positive,opinion,""
компетентный,Adj,компетентный,neutral,fact,"ПОЛНОМОЧИЕ"
компетентный,Adj,компетентный,positive,opinion,"КОМПЕТЕНЦИЯ,ОСВЕДОМЛЕННОСТЬ"
комплиментарный,Adj,комплиментарный,neutral,fact,"ВЗАИМОДОПОЛНЕНИЕ"
комплиментарный,Adj,комплиментарный,positive,opinion,"КОМПЛИМЕНТ (ЛЕСТНЫЙ ОТЗЫВ)"
компроматный,Adj,компроматный,negative,opinion,""
компромиссный,Adj,компромиссный,positive,opinion,""
комфортабельный,Adj,комфортабельный,positive,opinion,""
комфортный,Adj,комфортный,positive,opinion,""
конвульсивный,Adj,конвульсивный,negative,fact,""
конструктивный,Adj,конструктивный,neutral,fact,"КОНСТРУКЦИЯ УСТРОЙСТВА,ЗДАНИЯ"
конструктивный,Adj,конструктивный,positive,opinion,"КОНСТРУКТИВНЫЙ (ПОЛЕЗНЫЙ)"
контактный,Adj,контактный,neutral,fact,"КАСАТЬСЯ,ДОТРАГИВАТЬСЯ"
контактный,Adj,контактный,neutral,fact,"ОБЩЕНИЕ,СВЯЗЬ"
контактный,Adj,контактный,neutral,fact,"ЭЛЕКТРИЧЕСКИЙ КОНТАКТ"
контактный,Adj,контактный,positive,opinion,"ОБЩИТЕЛЬНЫЙ"
контрабандистский,Adj,контрабандистский,negative,fact,""
контрабандный,Adj,контрабандный,negative,fact,""
контрафактный,Adj,контрафактный,negative,fact ,""
контрпродуктивный,Adj,контрпродуктивный,negative,opinion,""
контрреволюционный,Adj,контрреволюционный,negative,fact,""
конфискационный,Adj,конфискационный,negative,fact,""
конфликтный,Adj,конфликтный,negative,opinion,""
конфликтующий,Adj,конфликтующий,negative,fact,""
конфронтационный,Adj,конфронтационный,negative,opinion,""
конфузный,Adj,конфузный,negative,feeling,""
конченный,Adj,конченный,negative,opinion,""
конченый,Adj,конченый,negative,opinion,""
копеечный,Adj,копеечный,negative,opinion,"НИЗКАЯ ОПЛАТА ТРУДА"
копеечный,Adj,копеечный,negative,opinion,"НИЧТОЖНЫЙ,НИЩЕНСКИЙ"
копеечный,Adj,копеечный,negative,opinion,"СЛИШКОМ ДЕШЕВЫЙ"
копеечный,Adj,копеечный,neutral,fact,"КОПЕЙКА"
коревой,Adj,коревой,negative,fact,""
коронный,Adj,коронный,neutral,fact,"КОРОНА (УКРАШЕНИЕ)"
коронный,Adj,коронный,positive,opinion,"КОРОННЫЙ (ЛУЧШИЙ,УДАЧНЫЙ)"
корректный,Adj,корректный,positive,opinion,""
коррозийный,Adj,коррозийный,negative,fact,""
коррозионный,Adj,коррозионный,negative,fact,""
коррумпированный,Adj,коррумпированный,negative,fact,""
коррупционерский,Adj,коррупционерский,negative,fact,""
коррупционный,Adj,коррупционный,negative,fact ,""
корыстный,Adj,корыстный,negative,opinion,""
корыстолюбивый,Adj,корыстолюбивый,negative,opinion,""
корявый,Adj,корявый,negative,opinion,""
космополитический,Adj,космополитический,negative,fact,""
космополитичный,Adj,космополитичный,negative,fact,""
костлявый,Adj,костлявый,negative,opinion,""
кошмарный,Adj,кошмарный,negative,feeling,"КОШМАРНЫЙ СОН"
кошмарный,Adj,кошмарный,negative,opinion,"КОШМАР (ОБСТОЯТЕЛЬСТВА)"
кошмарный,Adj,кошмарный,negative,opinion,"ОТВРАТИТЕЛЬНЫЙ (ОЧЕНЬ ПЛОХОЙ)"
кощунственный,Adj,кощунственный,negative,opinion,""
крамольный,Adj,крамольный,negative,opinion,""
красивейший,Adj,красивейший,positive,opinion,""
красивый,Adj,красивый,positive,opinion,""
красноречивый,Adj,красноречивый,positive,opinion,""
красочный,Adj,красочный,neutral,fact,"КРАСКА,КРАСЯЩИЙ СОСТАВ"
красочный,Adj,красочный,neutral,opinion,"ЦВЕТАСТЫЙ"
красочный,Adj,красочный,positive,opinion,"ЖИВОПИСНЫЙ,КОЛОРИТНЫЙ"
крепкий,Adj,крепкий,neutral,fact,"НАСЫЩЕННЫЙ,КРЕПКИЙ"
крепкий,Adj,крепкий,positive,opinion,"КРЕПКИЙ,ПРОЧНЫЙ"
крепкий,Adj,крепкий,positive,opinion,"ПРОЧНЫЙ (НЕИЗМЕННЫЙ)"
крепкий,Adj,крепкий,positive,opinion,"ТВЕРДОСТЬ,СТОЙКОСТЬ,НЕПОКОЛЕБИМОСТЬ"
крепкий,Adj,крепкий,positive,opinion,"ФИЗИЧЕСКИ КРЕПКИЙ"
крепкоголовый,Adj,крепкоголовый,negative,opinion,""
крепколобый,Adj,крепколобый,negative,opinion,""
криворукий,Adj,криворукий,negative,opinion,""
кризисный,Adj,кризисный,negative,opinion,""
криминальный,Adj,криминальный,negative,fact,""
криминогенный,Adj,криминогенный,negative,fact,""
кристальный,Adj,кристальный,positive,opinion,""
критиканский,Adj,критиканский,negative,opinion,""
критический,Adj,критический,negative,opinion,"КРИТИЧЕСКИ ОПАСНЫЙ"
критический,Adj,критический,neutral,fact,"КРИТИКОВАТЬ (ОБСУЖДАТЬ,РАЗБИРАТЬ С ЦЕЛЬЮ ОЦЕНИТЬ)"
критический,Adj,критический,neutral,fact,"КРИТИЧНОСТЬ (СПОСОБНОСТЬ)"
критичный,Adj,критичный,negative,opinion,""
кровавый,Adj,кровавый,negative,fact,""
кровожадный,Adj,кровожадный,negative,opinion,""
кровопролитнейший,Adj,кровопролитнейший,negative,fact,""
кровопролитный,Adj,кровопролитный,negative,fact,""
кровосмесительный,Adj,кровосмесительный,negative,fact,""
кромешный,Adj,кромешный,negative,opinion,""
кропотливый,Adj,кропотливый,positive,opinion,""
кроткий,Adj,кроткий,positive,opinion,""
крутой,Adj,крутой,negative,opinion,"КРУТОЙ (СУРОВЫЙ)"
крутой,Adj,крутой,neutral,fact,"КРУТОЙ (ОТВЕСНЫЙ,ОБРЫВИСТЫЙ)"
крутой,Adj,крутой,neutral,opinion,"КРУТОЙ (ГУСТОЙ)"
крутой,Adj,крутой,positive,opinion,"КРУТОЙ (МОДНЫЙ)"
крючкотворский,Adj,крючкотворский,negative,opinion,""
ксенофобский,Adj,ксенофобский,negative,fact,""
кудеснический,Adj,кудеснический,positive,opinion,""
кулуарный,Adj,кулуарный,negative,opinion,""
культовый,Adj,культовый,neutral,fact,"РЕЛИГИОЗНЫЙ КУЛЬТ"
культовый,Adj,культовый,positive,feeling,"ПРЕКЛОНЯТЬСЯ"
кунацкий,Adj,кунацкий,positive,opinion,""
кустарный,Adj,кустарный,negative,opinion,"ТОПОРНО ИЗГОТОВЛЕННЫЙ"
кустарный,Adj,кустарный,neutral,fact,"КУСТАРНОЕ ПРОИЗВОДСТВО"
лавиноопасный,Adj,лавиноопасный,negative,opinion,""
лакомый,Adj,лакомый,positive,feeling,""
лаконичный,Adj,лаконичный,positive,opinion,""
ласковый,Adj,ласковый,positive,opinion,""
латентный,Adj,латентный,neutral,opinion,""
легальный,Adj,легальный,positive,opinion,""
легендарный,Adj,легендарный,neutral,fact,"ЛЕГЕНДА,ПРЕДАНИЕ"
легендарный,Adj,легендарный,positive,opinion,"ЛЕГЕНДАРНЫЙ (ШИРОКОИЗВЕСТНЫЙ)"
легитимный,Adj,легитимный,positive,opinion,""
легкий,Adj,легкий,negative,opinion,"ЛЕГКИЙ (ПОВЕРХНОСТНЫЙ,ЛЕГКОМЫСЛЕННЫЙ)"
легкий,Adj,легкий,neutral,opinion,"ЛЕГКИЙ ПО ВЕСУ"
легкий,Adj,легкий,neutral,opinion,"ЛЕГКИЙ ПО СИЛЕ,СТЕПЕНИ"
легкий,Adj,легкий,positive,opinion,"ЛЕГКИЙ,НЕТРУДНЫЙ"
легкий,Adj,легкий,positive,opinion,"ПОКЛАДИСТЫЙ"
легковесный,Adj,легковесный,negative,opinion,"ЛЕГКОВЕСНЫЙ (ПОВЕРХНОСТНЫЙ)"
легковесный,Adj,легковесный,neutral,opinion,"ЛЕГКИЙ ПО ВЕСУ"
легковыполняемый,Adj,легковыполняемый,positive,opinion,""
легкомысленный,Adj,легкомысленный,negative,opinion,""
легонький,Adj,легонький,positive,opinion,""
леденящий,Adj,леденящий,negative,opinion,""
ледяной,Adj,ледяной,negative,opinion,"ЛЕДЯНОЙ (ОЧЕНЬ ХОЛОДНЫЙ)"
ледяной,Adj,ледяной,negative,opinion,"ЛЕДЯНОЙ (ПРЕЗРИТЕЛЬНО-ХОЛОДНЫЙ)"
ледяной,Adj,ледяной,neutral,fact,"ЛЕД"
ледяной,Adj,ледяной,neutral,fact,"ЛЕДЯНОЙ,ПОКРЫТЫЙ ЛЬДОМ"
лейкозный,Adj,лейкозный,negative,fact,""
ленивый,Adj,ленивый,negative,opinion,""
лестный,Adj,лестный,positive,opinion,""
летальный,Adj,летальный,negative,fact ,""
летаргический,Adj,летаргический,negative,fact,""
лженаучный,Adj,лженаучный,negative,opinion,""
лживый,Adj,лживый,negative,opinion,""
липовый,Adj,липовый,negative,opinion,"ПОДДЕЛКА,ФАЛЬШИВКА"
липовый,Adj,липовый,neutral,fact,"ЛИПА (ДЕРЕВО)"
липовый,Adj,липовый,neutral,fact,"ЛИПА (ДРЕВЕСИНА)"
лихаческий,Adj,лихаческий,negative,opinion,""
лихорадочный,Adj,лихорадочный,negative,feeling,"АЖИОТАЖ (ВОЗБУЖДЕНИЕ,ВОЛНЕНИЕ)"
лихорадочный,Adj,лихорадочный,negative,feeling,"ЛИХОРАДКА,ГОРЯЧКА"
лихорадочный,Adj,лихорадочный,negative,feeling,"ЛИХОРАДОЧНОЕ ВОЛНЕНИЕ"
лихорадочный,Adj,лихорадочный,negative,opinion,"НЕРВНЫЙ (ПОРЫВИСТЫЙ И СУДОРОЖНЫЙ)"
лицемерный,Adj,лицемерный,negative,opinion,""
лицемерский,Adj,лицемерский,negative,opinion,""
лицеприятный,Adj,лицеприятный,negative,opinion,""
лишний,Adj,лишний,negative,opinion,"ИЗБЫТОЧНЫЙ,ИЗЛИШНИЙ"
лишний,Adj,лишний,negative,opinion,"ЛИШНИЙ (НЕНУЖНЫЙ,БЕСПОЛЕЗНЫЙ)"
лишний,Adj,лишний,neutral,fact,"ЛИШНИЙ (ДОБАВОЧНЫЙ,ДОПОЛНИТЕЛЬНЫЙ)"
ловкаческий,Adj,ловкаческий,negative,opinion,""
ловкий,Adj,ловкий,positive,opinion,""
логический,Adj,логический,neutral,fact,"ЛОГИКА (НАУКА)"
логический,Adj,логический,positive,opinion,"ЛОГИКА (ВНУТРЕННЯЯ ЗАКОНОМЕРНОСТЬ)"
логичный,Adj,логичный,positive,opinion,""
ложный,Adj,ложный,negative,opinion,""
ломкий,Adj,ломкий,negative,opinion,""
лояльный,Adj,лояльный,positive,opinion,""
лукавый,Adj,лукавый,positive,opinion,""
лучезарный,Adj,лучезарный,positive,opinion,""
лучистый,Adj,лучистый,positive,opinion,""
лучший,Adj,лучший,positive,opinion,""
лысоватый,Adj,лысоватый,negative,opinion,""
лысый,Adj,лысый,negative,fact,""
льготный,Adj,льготный,positive,fact,""
льстивый,Adj,льстивый,negative,opinion,""
любезный,Adj,любезный,positive,opinion,""
любимый,Adj,любимый,positive,opinion,""
любовный,Adj,любовный,positive,feeling,""
любопытнейший,Adj,любопытнейший,positive,opinion,""
любопытный,Adj,любопытный,positive,feeling,"ЛЮБОПЫТСТВО (МЕЛОЧНЫЙ ИНТЕРЕС)"
любопытный,Adj,любопытный,positive,opinion,"ЛЮБОПЫТНЫЙ (ИНТЕРЕСНЫЙ)"
людоедский,Adj,людоедский,negative,fact,""
лютый,Adj,лютый,negative,opinion,""
магический,Adj,магический,positive,opinion,""
мажорный,Adj,мажорный,neutral,fact,"МАЖОР (МУЗЫКАЛЬНЫЙ ЛАД)"
мажорный,Adj,мажорный,positive,feeling,"ХОРОШЕЕ НАСТРОЕНИЕ"
мазохистский,Adj,мазохистский,negative,opinion,""
малейший,Adj,малейший,negative,opinion,""
маловажный,Adj,маловажный,negative,opinion,""
маловразумительный,Adj,маловразумительный,negative,opinion,""
маловыгодный,Adj,маловыгодный,negative,opinion,""
маловыразительный,Adj,маловыразительный,negative,opinion,""
малограмотный,Adj,малограмотный,negative,opinion,""
малодушный,Adj,малодушный,negative,opinion,""
малозначащий,Adj,малозначащий,negative,opinion,""
малозначимый,Adj,малозначимый,negative,opinion,""
малозначительный,Adj,малозначительный,negative,opinion,""
малоимущий,Adj,малоимущий,negative,opinion,""
малоинтересный,Adj,малоинтересный,negative,opinion,""
малокомпетентный,Adj,малокомпетентный,negative,opinion,""
малообеспеченный,Adj,малообеспеченный,negative,opinion,""
малообоснованный,Adj,малообоснованный,negative,opinion,""
малообразованный,Adj,малообразованный,negative,opinion,""
малообщительный,Adj,малообщительный,negative,opinion,""
малоопытный,Adj,малоопытный,negative,opinion,""
малоосмысленный,Adj,малоосмысленный,negative,opinion,""
малопонятный,Adj,малопонятный,negative,opinion,""
малопочтенный,Adj,малопочтенный,negative,opinion,""
малопригодный,Adj,малопригодный,negative,opinion,""
малопримечательный,Adj,малопримечательный,negative,opinion,""
малопристойный,Adj,малопристойный,negative,opinion,""
малоприятный,Adj,малоприятный,negative,opinion,""
малопродуктивный,Adj,малопродуктивный,negative,opinion,""
малореалистичный,Adj,малореалистичный,negative,opinion,""
малорезультативный,Adj,малорезультативный,negative,opinion,""
малосведущий,Adj,малосведущий,negative,opinion,""
малосильный,Adj,малосильный,negative,opinion,""
малосимпатичный,Adj,малосимпатичный,negative,opinion,""
малосодержательный,Adj,малосодержательный,negative,opinion,""
малосущественный,Adj,малосущественный,negative,opinion,""
малоубедительный,Adj,малоубедительный,negative,opinion,""
малоудачный,Adj,малоудачный,negative,opinion,""
малоутешительный,Adj,малоутешительный,negative,opinion,""
малоэффективный,Adj,малоэффективный,negative,opinion,""
малярийный,Adj,малярийный,negative,fact,""
маниакальный,Adj,маниакальный,negative,fact,"МАНИЯ (ПСИХИЧЕСКОЕ РАССТРОЙСТВО)"
маниакальный,Adj,маниакальный,negative,opinion,"МАНИЯ (СИЛЬНОЕ ПРИСТРАСТИЕ)"
манипулятивный,Adj,манипулятивный,negative,opinion,""
маразматический,Adj,маразматический,negative,fact,"МАРАЗМ (ПСИХИЧЕСКОЕ СОСТОЯНИЕ)"
маразматический,Adj,маразматический,negative,opinion,"МАРАЗМ,ИДИОТИЗМ"
марионеточный,Adj,марионеточный,negative,opinion,"МАРИОНЕТКА (ЧЕЛОВЕК)"
марионеточный,Adj,марионеточный,neutral,fact,"МАРИОНЕТКА (КУКЛА)"
мародерский,Adj,мародерский,negative,fact,""
мастерский,Adj,мастерский,positive,opinion,""
маститый,Adj,маститый,positive,opinion,""
матерный,Adj,матерный,negative,fact,""
матерый,Adj,матерый,negative,opinion,"ОТЪЯВЛЕННЫЙ,ПРОЖЖЕНЫЙ"
матерый,Adj,матерый,neutral,opinion,"МАТЕРЫЙ (ЗРЕЛЫЙ)"
мафиозный,Adj,мафиозный,negative,opinion,""
махровый,Adj,махровый,negative,opinion,"ОТЪЯВЛЕННЫЙ,ПРОЖЖЕНЫЙ"
махровый,Adj,махровый,neutral,fact,"МАХРОВАЯ ТКАНЬ"
медлительный,Adj,медлительный,negative,opinion,""
медовый,Adj,медовый,negative,opinion,"ПРИТОРНЫЙ,ИЗЛИШНЕ ЛЮБЕЗНЫЙ"
медовый,Adj,медовый,neutral,fact,"МЕД"
меланхолический,Adj,меланхолический,negative,feeling,""
мелкий,Adj,мелкий,negative,opinion,"МАЛОЗНАЧИТЕЛЬНЫЙ,НЕЗНАЧИТЕЛЬНЫЙ"
мелкий,Adj,мелкий,neutral,opinion,"МЕЛКИЙ (НЕБОЛЬШОЙ)"
мелкий,Adj,мелкий,neutral,opinion,"МЕЛКИЙ ПО ГЛУБИНЕ"
мелковатый,Adj,мелковатый,negative,opinion,""
мелкотравчатый,Adj,мелкотравчатый,negative,opinion,""
мелодичный,Adj,мелодичный,positive,opinion,""
мельчайший,Adj,мельчайший,neutral,fact,"МЕЛКИЙ (НЕБОЛЬШОЙ)"
мельчайший,Adj,мельчайший,neutral,opinion,"МАЛОЗНАЧИТЕЛЬНЫЙ,НЕЗНАЧИТЕЛЬНЫЙ"
менингитный,Adj,менингитный,negative,fact,""
менторский,Adj,менторский,negative,opinion,""
мерзкий,Adj,мерзкий,negative,opinion,""
мерзопакостный,Adj,мерзопакостный,negative,opinion,""
мерзостный,Adj,мерзостный,negative,opinion,""
меркантильный,Adj,меркантильный,negative,opinion,""
местечковый,Adj,местечковый,negative,opinion,""
метастатический,Adj,метастатический,negative,fact,""
меткий,Adj,меткий,positive,opinion,""
меценатский,Adj,меценатский,positive,fact,""
мечтательный,Adj,мечтательный,positive,feeling,""
мигреневый,Adj,мигреневый,negative,fact,""
мизерный,Adj,мизерный,negative,opinion,""
милейший,Adj,милейший,positive,opinion,""
миловидный,Adj,миловидный,positive,opinion,""
милосердный,Adj,милосердный,positive,feeling,""
милый,Adj,милый,positive,opinion,""
минорный,Adj,минорный,negative,feeling,"ГРУСТИТЬ"
минорный,Adj,минорный,neutral,fact,"МИНОР (МУЗЫКАЛЬНЫЙ ЛАД)"
мирный,Adj,мирный,neutral,fact,"МИРНОЕ НАСЕЛЕНИЕ"
мирный,Adj,мирный,positive,fact,"МИР,ОТСУТСТВИЕ КОНФЛИКТОВ"
мирный,Adj,мирный,positive,opinion,"МИРНЫЙ (СПОКОЙНЫЙ,ЧУЖДЫЙ ВОЛНЕНИЙ)"
мирный,Adj,мирный,positive,opinion,"МИРОЛЮБИЕ"
миролюбивый,Adj,миролюбивый,positive,opinion,""
мифический,Adj,мифический,negative,opinion,"ВЫДУМКА,ВЫМЫСЕЛ"
мифический,Adj,мифический,neutral,fact,"МИФ (НАРОДНОЕ СКАЗАНИЕ)"
мнимый,Adj,мнимый,negative,opinion,"ПРИТВОРНЫЙ"
мнимый,Adj,мнимый,neutral,opinion,"МНИМЫЙ (ВООБРАЖАЕМЫЙ)"
мнительный,Adj,мнительный,negative,opinion,""
многогранный,Adj,многогранный,positive,opinion,""
многозначительный,Adj,многозначительный,positive,opinion,""
многомудрый,Adj,многомудрый,positive,opinion,""
многообещающий,Adj,многообещающий,positive,opinion,""
многословный,Adj,многословный,negative,opinion,""
многосторонний,Adj,многосторонний,positive,opinion,""
многотрудный,Adj,многотрудный,negative,opinion,""
могучий,Adj,могучий,positive,opinion,""
могущественный,Adj,могущественный,positive,opinion,""
модернизаторский,Adj,модернизаторский,positive,fact,""
модернизационный,Adj,модернизационный,positive,fact,""
моджахедский,Adj,моджахедский,negative,fact,""
модный,Adj,модный,neutral,fact,"МОДА"
модный,Adj,модный,positive,opinion,"МОДНЫЙ (ПОПУЛЯРНЫЙ)"
модный,Adj,модный,positive,opinion,"МОДНЫЙ,СТИЛЬНЫЙ"
молодцеватый,Adj,молодцеватый,positive,opinion,""
молчаливый,Adj,молчаливый,neutral,fact,"БЕЗМОЛВНЫЙ,БЕЗ СЛОВ"
молчаливый,Adj,молчаливый,positive/negative,opinion,"МОЛЧАЛИВЫЙ,НЕРАЗГОВОРЧИВЫЙ"
моралистический,Adj,моралистический,negative,opinion,""
моральный,Adj,моральный,positive,fact,"МОРАЛЬ"
моральный,Adj,моральный,positive,opinion,"НРАВСТВЕННЫЙ,ЭТИЧНЫЙ"
морщинистый,Adj,морщинистый,negative,fact,""
мотовской,Adj,мотовской,negative,opinion,""
мошеннический,Adj,мошеннический,negative,opinion,""
мощнейший,Adj,мощнейший,neutral,operator,"МОЩНЫЙ (ОЧЕНЬ СИЛЬНЫЙ)"
мощнейший,Adj,мощнейший,positive,fact,"МОЩНЫЙ (ОБЛАДАЮЩИЙ БОЛЬШОЙ МОЩНОСТЬЮ)"
мощный,Adj,мощный,neutral,operator,"МОЩНЫЙ (ОЧЕНЬ СИЛЬНЫЙ)"
мощный,Adj,мощный,positive,fact,"МОЩНЫЙ (ОБЛАДАЮЩИЙ БОЛЬШОЙ МОЩНОСТЬЮ)"
мракобесный,Adj,мракобесный,negative,opinion,""
мрачноватый,Adj,мрачноватый,negative,opinion,""
мрачный,Adj,мрачный,negative,opinion,""
мстительный,Adj,мстительный,negative,fact,""
мужественный,Adj,мужественный,positive,opinion,""
музыкальный,Adj,музыкальный,neutral,fact,"МУЗЫКАЛЬНОЕ ИСКУССТВО"
музыкальный,Adj,музыкальный,positive,opinion,"МЕЛОДИЧНЫЙ"
мусорный,Adj,мусорный,negative,fact,""
мутноватый,Adj,мутноватый,negative,opinion,""
мутный,Adj,мутный,negative,opinion,""
муторный,Adj,муторный,negative,opinion,""
мученический,Adj,мученический,negative,feeling,""
мучительный,Adj,мучительный,negative,feeling,""
мучительский,Adj,мучительский,negative,opinion,""
мягкий,Adj,мягкий,neutral,opinion,"МЯГКИЙ ПРИ НАДАВЛИВАНИИ"
мягкий,Adj,мягкий,positive,feeling,"МЯГКИЙ,НЕЖНЫЙ НА ОЩУПЬ"
мягкий,Adj,мягкий,positive,opinion,"МЯГКИЙ ПО ХАРАКТЕРУ"
мягкий,Adj,мягкий,positive,opinion,"МЯГКИЙ,НЕРЕЗКИЙ"
мягкий,Adj,мягкий,positive,opinion,"МЯГКИЙ,НЕСТРОГИЙ"
мягкий,Adj,мягкий,positive,opinion,"МЯГКИЙ,НЕЧЕРСТВЫЙ"
мягкосердечный,Adj,мягкосердечный,positive,opinion,""
мягкотелый,Adj,мягкотелый,negative,opinion,""
мясистый,Adj,мясистый,neutral,opinion,""
мятежнический,Adj,мятежнический,negative,fact,""
мятежный,Adj,мятежный,negative,fact,""
мятый,Adj,мятый,negative,opinion,""
набитый,Adj,набитый,negative,opinion,""
наблюдательный,Adj,наблюдательный,neutral,fact,"НАБЛЮДАТЬ (ОСУЩЕСТВЛЯТЬ НАДЗОР)"
наблюдательный,Adj,наблюдательный,positive,opinion,"НАБЛЮДАТЕЛЬНЫЙ (ВНИМАТЕЛЬНЫЙ)"
набожный,Adj,набожный,positive,opinion,""
наболевший,Adj,наболевший,negative,opinion,""
навязчивый,Adj,навязчивый,negative,opinion,""
нагловатый,Adj,нагловатый,negative,opinion,""
наглый,Adj,наглый,negative,opinion,""
награбленный,Adj,награбленный,negative,fact,""
надежный,Adj,надежный,positive,opinion,""
надменный,Adj,надменный,negative,opinion,""
надоедливый,Adj,надоедливый,negative,opinion,""
надоедный,Adj,надоедный,negative,opinion,""
надуманный,Adj,надуманный,negative,opinion,""
наемнический,Adj,наемнический,negative,fact,""
назидательный,Adj,назидательный,negative,opinion,""
назойливый,Adj,назойливый,negative,opinion,""
наивкуснейший,Adj,наивкуснейший,positive,opinion,""
